SourceFile,FileName,DateTimeOriginal,GPSPosition,ImageWidth,ImageHeight
P48.jpg,P48.jpg,2026:09:16 11:14:03,"45 deg 30' 22.03"" N, 73 deg 33' 34.56"" W",4032,2268
P49.jpg,P49.jpg,2026:09:16 11:12:22,"45 deg 30' 21.96"" N, 73 deg 33' 34.97"" W",4032,2268
P50.jpg,P50.jpg,2026:09:16 11:11:56,"45 deg 30' 21.97"" N, 73 deg 33' 34.81"" W",4032,2268
P51.jpg,P51.jpg,2026:09:16 11:11:52,"45 deg 30' 21.97"" N, 73 deg 33' 34.40"" W",4032,2268
P52.jpg,P52.jpg,2026:09:16 11:11:44,"45 deg 30' 21.96"" N, 73 deg 33' 34.89"" W",5712,3213
P53.jpg,P53.jpg,2026:09:16 11:11:30,"45 deg 30' 22.01"" N, 73 deg 33' 34.48"" W",4032,2268
P54.jpg,P54.jpg,2026:09:16 10:49:27,"45 deg 30' 19.82"" N, 73 deg 33' 38.41"" W",5712,3213
P55.jpg,P55.jpg,2026:09:16 10:46:51,"45 deg 30' 19.72"" N, 73 deg 33' 38.68"" W",5712,3213
P56.jpg,P56.jpg,2026:09:16 10:43:08,"45 deg 30' 19.78"" N, 73 deg 33' 38.27"" W",5712,3213
P57.jpg,P57.jpg,2026:09:16 10:39:23,"45 deg 30' 19.67"" N, 73 deg 33' 38.77"" W",4032,2268
P58.jpg,P58.jpg,2026:09:16 10:39:14,"45 deg 30' 19.69"" N, 73 deg 33' 38.74"" W",2268,4032
P59.jpg,P59.jpg,2026:09:16 10:38:59,"45 deg 30' 19.75"" N, 73 deg 33' 38.47"" W",4032,2268
P60.jpg,P60.jpg,2026:09:16 10:38:54,"45 deg 30' 19.75"" N, 73 deg 33' 38.47"" W",5712,3213
P61.jpg,P61.jpg,2026:09:16 10:38:10,"45 deg 30' 19.82"" N, 73 deg 33' 38.35"" W",5712,3213
P62.jpg,P62.jpg,2026:09:16 10:36:04,"45 deg 30' 19.73"" N, 73 deg 33' 38.54"" W",5712,3213
P63.jpg,P63.jpg,2026:09:16 10:36:04,"45 deg 30' 19.73"" N, 73 deg 33' 38.54"" W",5712,3213
P64.jpg,P64.jpg,2026:09:16 10:35:08,"45 deg 30' 19.73"" N, 73 deg 33' 38.38"" W",5712,3213
P65.jpg,P65.jpg,2026:09:16 10:33:56,"45 deg 30' 19.65"" N, 73 deg 33' 38.79"" W",5712,3213
P66.jpg,P66.jpg,2026:09:16 10:29:41,"45 deg 30' 19.69"" N, 73 deg 33' 38.68"" W",5712,3213
P67.jpg,P67.jpg,2026:09:16 10:27:40,"45 deg 30' 19.83"" N, 73 deg 33' 38.38"" W",4032,2268
P68.jpg,P68.jpg,2026:09:16 10:21:49,"45 deg 30' 13.04"" N, 73 deg 33' 37.03"" W",4032,2268
P69.jpg,P69.jpg,2026:09:16 10:21:44,"45 deg 30' 13.09"" N, 73 deg 33' 37.03"" W",3213,5712
P70.jpg,P70.jpg,2026:09:16 10:20:15,"45 deg 30' 13.13"" N, 73 deg 33' 37.03"" W",5712,3213
P71.jpg,P71.jpg,2026:09:16 09:06:39,"45 deg 30' 21.70"" N, 73 deg 33' 36.57"" W",2268,4032
P72.jpg,P72.jpg,2026:09:16 08:52:13,"45 deg 30' 21.74"" N, 73 deg 33' 36.52"" W",4032,2268
P73.jpg,P73.jpg,2026:09:16 08:48:18,"45 deg 30' 21.65"" N, 73 deg 33' 36.62"" W",2268,4032
P74.jpg,P74.jpg,2026:09:16 08:47:55,"45 deg 30' 21.71"" N, 73 deg 33' 36.62"" W",2268,4032
P75.jpg,P75.jpg,,,611,656
