SourceFile,FileName,DateTimeOriginal,GPSPosition,ImageWidth,ImageHeight
P01.jpg,P01.jpg,2026:09:15 19:01:07,"45 deg 30' 12.03"" N, 73 deg 33' 36.71"" W",4032,2268
P02.jpg,P02.jpg,2026:09:15 19:00:49,"45 deg 30' 12.04"" N, 73 deg 33' 36.71"" W",2268,4032
P03.jpg,P03.jpg,2026:09:15 18:19:55,"45 deg 30' 11.75"" N, 73 deg 33' 36.76"" W",2268,4032
P04.jpg,P04.jpg,2026:09:15 18:20:08,"45 deg 30' 11.73"" N, 73 deg 33' 36.79"" W",4032,2268
P05.jpg,P05.jpg,2026:09:15 18:19:44,"45 deg 30' 11.71"" N, 73 deg 33' 36.79"" W",4032,2268
P06.jpg,P06.jpg,2026:09:15 18:19:44,"45 deg 30' 11.71"" N, 73 deg 33' 36.79"" W",4032,2268
P07.jpg,P07.jpg,2026:09:15 18:18:17,"45 deg 30' 11.89"" N, 73 deg 33' 36.68"" W",4032,2268
P08.jpg,P08.jpg,2026:09:15 18:18:13,"45 deg 30' 11.85"" N, 73 deg 33' 36.68"" W",4032,2268
P09.jpg,P09.jpg,2026:09:15 18:18:04,"45 deg 30' 11.67"" N, 73 deg 33' 36.84"" W",4032,2268
P10.jpg,P10.jpg,2026:09:15 18:14:59,"45 deg 30' 12.21"" N, 73 deg 33' 36.54"" W",5712,3213
P11.jpg,P11.jpg,2026:09:15 18:14:58,"45 deg 30' 12.21"" N, 73 deg 33' 36.54"" W",5712,3213
P12.jpg,P12.jpg,2026:09:15 18:13:46,"45 deg 30' 11.59"" N, 73 deg 33' 36.79"" W",4032,2268
P13.jpg,P13.jpg,2026:09:15 18:13:45,"45 deg 30' 11.59"" N, 73 deg 33' 36.79"" W",4032,2268
P14.jpg,P14.jpg,2026:09:15 15:44:19,"45 deg 30' 0.16"" N, 73 deg 33' 34.37"" W",5317,4281
P15.jpg,P15.jpg,2026:09:15 15:44:18,"45 deg 30' 0.16"" N, 73 deg 33' 34.37"" W",5122,4284
P16.jpg,P16.jpg,2026:09:15 15:44:07,"45 deg 30' 0.16"" N, 73 deg 33' 34.37"" W",3213,5712
P17.jpg,P17.jpg,2026:09:15 15:21:06,"45 deg 29' 59.59"" N, 73 deg 33' 33.16"" W",4032,2268
P18.jpg,P18.jpg,2026:09:15 14:41:25,"45 deg 30' 9.83"" N, 73 deg 33' 52.83"" W",4032,2268
P19.jpg,P19.jpg,2026:09:15 14:43:02,"45 deg 30' 9.23"" N, 73 deg 33' 50.71"" W",4032,2268
P20.jpg,P20.jpg,2026:09:15 12:53:07,"45 deg 30' 21.77"" N, 73 deg 33' 34.45"" W",4032,2268
