SourceFile,FileName,DateTimeOriginal,CreateDate,GPSPosition,ImageWidth,ImageHeight,Duration
P21.jpg,P21.jpg,2026:09:15 12:53:06,2026:09:15 12:53:06,"45 deg 30' 21.77"" N, 73 deg 33' 34.45"" W",4032,2268,
P22.jpg,P22.jpg,2026:09:15 12:53:04,2026:09:15 12:53:04,"45 deg 30' 21.77"" N, 73 deg 33' 34.45"" W",4032,2268,
P23.jpg,P23.jpg,2026:09:15 12:52:37,2026:09:15 12:52:37,"45 deg 30' 19.76"" N, 73 deg 33' 38.00"" W",4032,2268,
P24.jpg,P24.jpg,2026:09:15 12:51:23,2026:09:15 12:51:23,"45 deg 30' 17.69"" N, 73 deg 33' 40.11"" W",4032,2268,
P25.jpg,P25.jpg,2026:09:15 12:50:01,2026:09:15 12:50:01,"45 deg 30' 13.90"" N, 73 deg 33' 36.13"" W",5712,3213,
P26.jpg,P26.jpg,2026:09:15 12:46:55,2026:09:15 12:46:55,"45 deg 30' 16.87"" N, 73 deg 33' 39.59"" W",4032,2268,
P27.jpg,P27.jpg,2026:09:15 12:45:09,2026:09:15 12:45:09,"45 deg 30' 19.96"" N, 73 deg 33' 38.08"" W",4032,2268,
P28.jpg,P28.jpg,2026:09:15 12:44:52,2026:09:15 12:44:52,"45 deg 30' 19.93"" N, 73 deg 33' 38.16"" W",5712,3213,
P29.jpg,P29.jpg,2026:09:15 12:39:20,2026:09:15 12:39:20,"45 deg 30' 12.83"" N, 73 deg 33' 41.02"" W",1737,3088,
P30.jpg,P30.jpg,2026:09:15 12:39:04,2026:09:15 12:39:04,"45 deg 30' 12.92"" N, 73 deg 33' 40.36"" W",4032,2268,
P31.jpg,P31.jpg,2026:09:15 12:36:44,2026:09:15 12:36:44,"45 deg 30' 11.04"" N, 73 deg 33' 37.55"" W",3213,5712,
P32.jpg,P32.jpg,2026:09:15 12:36:40,2026:09:15 12:36:40,"45 deg 30' 11.07"" N, 73 deg 33' 38.19"" W",3213,5712,
P33.jpg,P33.jpg,2026:09:15 12:35:13,2026:09:15 12:35:13,"45 deg 30' 8.75"" N, 73 deg 33' 36.92"" W",4032,2268,
P34.jpg,P34.jpg,2026:09:15 12:35:08,2026:09:15 12:35:08,"45 deg 30' 8.75"" N, 73 deg 33' 36.87"" W",3213,5712,
P35.jpg,P35.jpg,2026:09:15 12:34:58,2026:09:15 12:34:58,"45 deg 30' 9.61"" N, 73 deg 33' 36.43"" W",1737,3088,
P36.mov,P36.mov,,2026:09:16 02:00:31,"45 deg 30' 10.44"" N, 73 deg 33' 36.00"" W",1280,720,15.16 s
P37.jpg,P37.jpg,2026:09:15 12:16:57,2026:09:15 12:16:57,"45 deg 30' 6.02"" N, 73 deg 33' 43.05"" W",5712,3213,
P38.jpg,P38.jpg,2026:09:15 12:16:40,2026:09:15 12:16:40,"45 deg 30' 6.13"" N, 73 deg 33' 43.33"" W",1737,3088,
