source_url,target_url,anchor_text,section_hint,http_status
https://kriskrug.co/the-kk-worldview/,https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,there is a prayer I actually say about this,"On Truth and Understanding section, block 10, new paragraph after the list",200
https://kriskrug.co/2026/05/23/you-cant-drink-data/,https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,"I say a prayer about this most mornings, which is either funny or the whole point","Block 4, they-are-right-about-a-lot-of-it paragraph, trailing sentence",200
https://kriskrug.co/2026/02/20/spa-at-the-end-of-time/,https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,I have my own version of the seance,"Block 6, the astral-plane audio paragraph, trailing sentence",200
https://kriskrug.co/2026/05/04/punk-rock-ai/,https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,the optimistic version of the same argument,"Final paragraph, before the collection footer",200
https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,https://kriskrug.co/the-kk-worldview/,"the rest of my lens, written out plainly","Block 5, after the shared-with-me-by-a-friend line, trailing sentence",200
https://kriskrug.co/2023/11/04/the-power-of-most-benevolent-outcomes-a-prayer-for-blessings-for-all-living-things/,https://kriskrug.co/ai-ethics/,"the less mystical version of this, which is how I actually practice it","Block 21, end of Embracing the Digital Future, before the How To Practice heading",200
https://kriskrug.co/ai-ethics/,https://kriskrug.co/2026/05/23/you-cant-drink-data/,You Can't Drink Data,"Source trail section, new first card ahead of Punk Rock AI",200
https://kriskrug.co/2026/06/26/canada-doesnt-need-a-bigger-ai-machine-it-needs-a-better-one/,https://kriskrug.co/2026/05/23/you-cant-drink-data/,what the water math looks like from street level,"First paragraph that raises compute or infrastructure cost, trailing sentence",200
https://kriskrug.co/2024/06/29/ai-is-not-your-friend-why-we-need-to-rethink-our-relationship-with-artificial-intelligence/,https://kriskrug.co/2026/05/23/you-cant-drink-data/,two years later I went to the protest and wrote down what the signs said,"Final paragraph, before the collection footer",200
https://kriskrug.co/2026/05/19/we-trained-ai-on-stolen-work/,https://kriskrug.co/2026/05/23/you-cant-drink-data/,the march where the illustrators showed up as a guild,"Creative labour paragraph, trailing sentence",200
https://kriskrug.co/photography/,https://kriskrug.co/category/photography-visual-storytelling/,"the whole archive, twenty years of it","Block 23, closing section, second link beside the existing Flickr exit",200
https://kriskrug.co/photography/,https://kriskrug.co/2006/10/23/kk-on-modelmayhemcom/,"the fashion and model years, 2006 to 2008","Block 23, closing section, new sentence",200
https://kriskrug.co/2007/04/27/to-all-you-wannabe-fashion-photographers/,https://kriskrug.co/2006/10/23/kk-on-modelmayhemcom/,how I found those people in the first place,"Body, trailing sentence, before the collection footer",200
https://kriskrug.co/2006/10/23/kk-on-modelmayhemcom/,https://kriskrug.co/photography/,where all of that ended up,"Block 2, after the met-a-couple-cool-peeps line, new sentence",200
https://kriskrug.co/ai-conversations/,https://kriskrug.co/2023/09/22/coffee-community-and-sobriety-matt-mckennas-decade-at-dent/,Matt McKenna's decade at DENT,"Interview card list, new card",200
https://kriskrug.co/2023/08/19/dent-the-future-an-insiders-experiences-at-the-dent-conference/,https://kriskrug.co/2023/09/22/coffee-community-and-sobriety-matt-mckennas-decade-at-dent/,"Matt McKenna, who has been at every single one","DENT community paragraph, inline on the name",200
https://kriskrug.co/2019/03/30/dent-2019-photo-recap-gallery/,https://kriskrug.co/2023/09/22/coffee-community-and-sobriety-matt-mckennas-decade-at-dent/,I sat down with Matt McKenna a few years after this,"Intro paragraph, trailing sentence",200
https://kriskrug.co/2024/01/28/inside-the-innaugural-vancouver-ai-community-meetup/,https://kriskrug.co/events/,"we still do this every month, and the next one is on the calendar","Final paragraph, before the collection footer",200
https://kriskrug.co/2025/05/11/vancouver-ai-meetup-16-where-tech-creativity-and-community-collide/,https://kriskrug.co/events/,the next one,"Final paragraph, before the collection footer",200
https://kriskrug.co/2025/03/02/vancouver-ai-the-community-building-bcs-ai-future-february-meetup-recap/,https://kriskrug.co/events/,come to the next one,"Final paragraph, before the collection footer",200
https://kriskrug.co/2024/09/01/august-vancouver-ai-community-meetup-recap-hackers-hustlers-heretics/,https://kriskrug.co/events/,the current calendar,"Final paragraph, before the collection footer",200
https://kriskrug.co/2024/07/08/creativity-in-the-age-of-ai-vancouver-ai-community-meetup-june-2024-highlights/,https://kriskrug.co/events/,where the next one lands,"Final paragraph, before the collection footer",200
