batch,page_url,page_id,page_slug,page_title,tier,media_id,image_file,image_src,rendered_alt,alt_state,classification,fix_surface,media_library_alt,media_library_title,proposed_alt,needs_ncr,confidence,notes
batch-0,https://kriskrug.co/,,home,/,1-top-route,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2003/10/14/testing-testing-1-2-1-2-3-4/,25,testing-testing-1-2-1-2-3-4,Testing Testing 1 2… 1 2 3 4.,5-strat-2003,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2004/06/01/lexicon/,49,lexicon,Lexicon,5-strat-2004,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2004/06/29/omg/,41,omg,OMG!!!,5-strat-2004,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2004/07/23/spark-online-version-20-brainstorming/,54,spark-online-version-20-brainstorming,*spark-online Version 2.0 Brainstorming,5-strat-2004,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2004/08/19/blogging-grows-up/,61,blogging-grows-up,Blogging Grows Up,5-strat-2004,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2005/10/25/multi-user-blog-tools-overall-ratings-and-reviews/,761,multi-user-blog-tools-overall-ratings-and-reviews,Multi User Blog Tools – Overall Ratings and Reviews,5-strat-2005,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2005/11/22/announcement-open-source-cms-and-blogging-tools-summit-vancouver-february-7-9-2006/,740,announcement-open-source-cms-and-blogging-tools-summit-vancouver-february-7-9-2006,"Announcement: Open Source CMS and Blogging Tools Summit, Vancouver, February 7 – 9, 2006",5-strat-2005,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2005/12/12/moving-on-some-words-that-i-would-love-to-see-retired-from-my-existence-for-quite-some-time/,784,moving-on-some-words-that-i-would-love-to-see-retired-from-my-existence-for-quite-some-time,Moving On – Some words that I would love to see retired from my existence for quite some time:,5-strat-2005,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2005/12/26/hubble-uncovers-smallest-moons-yet-seen-around-uranus/,829,hubble-uncovers-smallest-moons-yet-seen-around-uranus,Hubble Uncovers Smallest Moons Yet Seen Around Uranus,5-strat-2005,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2006/10/31/south-by-northwest-at-iron-cactus-monday-march-12-2007/,1047,south-by-northwest-at-iron-cactus-monday-march-12-2007,"South by Northwest at Iron Cactus (Monday, March 12, 2007)",5-strat-2006,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2006/11/15/nitobi-photoshoot/,1065,nitobi-photoshoot,Nitobi Photoshoot,5-strat-2006,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2006/12/04/jpg-photography-magazine-issue-8-voting/,1091,jpg-photography-magazine-issue-8-voting,JPG Photography Magazine – Issue 8 Voting,5-strat-2006,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2006/12/28/todays-special-photoshoot-with-chantelle-bousquet-and-jessie-harris/,1094,todays-special-photoshoot-with-chantelle-bousquet-and-jessie-harris,Today’s Special Photoshoot with Chantelle Bousquet and Jessie Harris,5-strat-2006,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
batch-0,https://kriskrug.co/2007/02/16/email-is-the-place-where-information-goes-to-die/,1165,email-is-the-place-where-information-goes-to-die,Email is the place where information goes to die,5-strat-2007,,tr,https://www.facebook.com/tr?id=1720755522050230&ev=PageView&noscript=1,,missing-attr,decorative-tracking-pixel,tracking-pixel-snippet,,,,no,"high (add alt="""", decorative)",
