id,slug,url,title,state,words,modified,inbound_posts,inbound_pages,inbound_page_ids,nav,inline_css_bytes,images,embeds,wave,proposed_action
1208,about,https://kriskrug.co/about/,About Kris Krüg,DESIGNED,280,2026-08-01,7,2,3609 11887,primary+footer,3488,5,0,,none: already designed or template-driven
1887,speaking,https://kriskrug.co/speaking/,AI Keynote Speaker Kris Krüg,DESIGNED,212,2026-07-24,6,11,1208 2250 2409 2666 2672 3609 11887 12316 12317 12318 12319,primary+footer,959,4,0,,none: already designed or template-driven
1895,publications,https://kriskrug.co/publications/,Publications,DESIGNED-INLINE,1174,2026-08-01,1,0,,footer,15386,38,0,,none: already designed or template-driven
2250,events,https://kriskrug.co/events/,Events,DESIGNED,1561,2026-08-01,2,1,12625,footer,2182,16,0,,none: already designed or template-driven
2315,home,https://kriskrug.co/home/,Recent Posts & Updates:,LEGACY,465,2026-06-17,0,0,,no,0,12,0,W1,retire: redirect /home/ -> /
2316,blog,https://kriskrug.co/blog/,Blog,UTILITY,0,2026-06-28,1,1,11887,primary+footer,0,0,0,,none: already designed or template-driven
2389,news,https://kriskrug.co/news/,News,STUB,37,2026-06-17,0,0,,no,0,0,0,W1,retire: redirect /news/ -> /publications/
2409,testimonials,https://kriskrug.co/testimonials/,Testimonials,DESIGNED,892,2026-08-01,0,0,,footer,0,0,0,,none: already designed or template-driven
2418,contact,https://kriskrug.co/contact/,Contact Kris Krüg,DESIGNED-INLINE,228,2026-07-24,6,13,1208 1887 2409 2666 2672 3609 11914 12315 12317 12319 12320 12321 12322,primary+footer,5422,1,0,,none: already designed or template-driven
2543,art-island-perspectives-from-a-creative-community,https://kriskrug.co/art-island-perspectives-from-a-creative-community/,Art Island: Perspectives from a Creative Community,LEGACY,815,2026-06-17,1,0,,no,0,7,0,W3,editorial media-text template
2603,generative-ai-workshop-for-artists-creatives,https://kriskrug.co/generative-ai-workshop-for-artists-creatives/,Generative AI & Creative Potential Workshops,LEGACY,341,2026-06-17,2,0,,no,0,0,1,W2,offer template
2666,generative-ai-services,https://kriskrug.co/generative-ai-services/,Generative AI Creative Services & Strategy,DESIGNED-INLINE,238,2026-07-24,8,5,3930 12316 12320 12321 12625,primary+footer,4418,2,0,,none: already designed or template-driven
2672,work,https://kriskrug.co/work/,Work,DESIGNED,218,2026-07-24,3,3,1208 2666 12315,primary+footer,959,8,0,,none: already designed or template-driven
2808,subscribe,https://kriskrug.co/subscribe/,(no title),STUB,0,2023-08-20,0,0,,no,0,0,1,W1,retire: redirect /subscribe/ -> beehiiv or fold into footer signup
